,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
mpg,1.0,-0.8521619594266132,-0.8475513792624786,-0.7761683718265863,0.6811719078067492,-0.8676593765172276,0.41868403392177816,0.6640389191275928,0.5998324294546479,0.4802847573388419,-0.550925073902459
cyl,-0.8521619594266132,1.0,0.9020328721469987,0.8324474527218193,-0.6999381138287701,0.7824957944632407,-0.5912420737688682,-0.8108117960830054,-0.5226070469006756,-0.4926865993894716,0.5269882937496432
disp,-0.8475513792624786,0.9020328721469987,1.0,0.7909485863698064,-0.71021392716927,0.8879799220581379,-0.4336978808110135,-0.7104158907905996,-0.5912270400639477,-0.5555691985624828,0.39497686486896916
hp,-0.7761683718265863,0.8324474527218193,0.7909485863698064,1.0,-0.44875911687291953,0.658747887344759,-0.7082233888619535,-0.7230967373524497,-0.24320425718585117,-0.1257042582254742,0.7498124715491102
drat,0.6811719078067492,-0.6999381138287701,-0.71021392716927,-0.44875911687291953,1.0,-0.7124406466973717,0.09120475965118276,0.44027846495534934,0.7127111272262698,0.6996101319346651,-0.09078979886886719
wt,-0.8676593765172276,0.7824957944632407,0.8879799220581379,0.658747887344759,-0.7124406466973717,1.0,-0.1747158787134046,-0.5549156776639942,-0.6924952588394842,-0.5832869965366481,0.42760593773548683
qsec,0.41868403392177816,-0.5912420737688682,-0.4336978808110135,-0.7082233888619535,0.09120475965118276,-0.1747158787134046,1.0,0.7445354435262542,-0.2298608621848832,-0.2126822297203652,-0.6562492283380585
vs,0.6640389191275928,-0.8108117960830054,-0.7104158907905996,-0.7230967373524497,0.44027846495534934,-0.5549156776639942,0.7445354435262542,1.0,0.1683451245853586,0.20602334873357928,-0.5696071410068428
am,0.5998324294546479,-0.5226070469006756,-0.5912270400639477,-0.24320425718585117,0.7127111272262698,-0.6924952588394842,-0.2298608621848832,0.1683451245853586,1.0,0.7940587602563435,0.057534351070504045
gear,0.4802847573388419,-0.4926865993894716,-0.5555691985624828,-0.1257042582254742,0.6996101319346651,-0.5832869965366481,-0.2126822297203652,0.20602334873357928,0.7940587602563435,1.0,0.27407283635752216
carb,-0.550925073902459,0.5269882937496432,0.39497686486896916,0.7498124715491102,-0.09078979886886719,0.42760593773548683,-0.6562492283380585,-0.5696071410068428,0.057534351070504045,0.27407283635752216,1.0
